ImageId,Label,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
Slide3-PccrM6-1__phase_analysis,signal:0017-0292,114.0,104.12490678,135.065,1622.0,1578.0,2206.0,894.612,291.475,0.608,11870.2793729,83.9849067797,11870.2793729,2.961,0.338,0.826
Slide3-PccrM6-1__phase_analysis,signal:0022-0406,172.0,120.01390678,119.73,1886.0,1595.0,2263.0,765.976,407.562,0.382,20642.4039661,118.98490678,20642.4039661,4.109,0.243,0.639
Slide3-PccrM6-1__phase_analysis,signal:0026-0476,182.0,96.6549067797,111.672,1767.0,1528.0,2059.0,932.396,477.452,0.418,17591.2530339,96.9849067797,17591.2530339,4.181,0.239,0.701
Slide3-PccrM6-1__phase_analysis,signal:0027-0495,123.0,101.05790678,104.417,1806.0,1594.0,2077.0,793.926,494.48,0.55,12430.1435339,86.9849067797,12430.1435339,3.589,0.279,0.783
Slide3-PccrM6-1__phase_analysis,signal:0033-0553,84.0,88.7949067797,126.074,1680.0,1549.0,2146.0,940.437,553.932,0.72,7458.73216949,67.9849067797,7458.73216949,2.61,0.383,0.884
Slide3-PccrM6-2__phase_analysis,signal:0008-0286,151.0,96.4219067797,113.978,1736.0,1559.0,2175.0,778.902,285.074,0.504,14559.7209237,88.9849067797,14559.7209237,3.332,0.3,0.753
Slide3-PccrM6-2__phase_analysis,signal:0010-0357,191.0,92.1999067797,104.555,1648.0,1532.0,2084.0,864.139,357.66,0.394,17610.1171949,89.9849067797,17610.1171949,3.378,0.296,0.664
Slide3-PccrM6-2__phase_analysis,signal:0017-0542,175.0,86.5339067797,113.859,1850.0,1501.0,2081.0,776.786,543.09,0.481,15143.3586864,99.9849067797,15143.3586864,2.962,0.338,0.714
Slide3-PccrM6-3__phase_analysis,signal:0009-0186,130.0,106.52290678,122.763,1731.0,1546.0,2143.0,680.868,186.922,0.511,13848.0378814,100.98490678,13848.0378814,3.307,0.302,0.772
Slide3-PccrM6-3__phase_analysis,signal:0011-0209,90.0,94.8409067797,114.411,1756.0,1541.0,2125.0,534.595,209.643,0.666,8535.64161017,84.9849067797,8535.64161017,2.608,0.383,0.878
Slide3-PccrM6-3__phase_analysis,signal:0012-0218,93.0,96.7909067797,124.247,1681.0,1513.0,2089.0,609.983,217.601,0.643,9001.59633051,90.9849067797,9001.59633051,2.851,0.351,0.869
Slide3-PccrM6-3__phase_analysis,signal:0013-0221,99.0,116.23790678,117.265,1681.0,1582.0,2095.0,658.882,220.57,0.634,11507.5057712,113.98490678,11507.5057712,2.735,0.366,0.811
Slide3-PccrM6-3__phase_analysis,signal:0015-0267,115.0,139.01990678,128.565,1791.0,1529.0,2118.0,770.937,268.519,0.553,15987.2642797,152.98490678,15987.2642797,2.827,0.354,0.769
Slide3-PccrM6-3__phase_analysis,signal:0022-0354,149.0,98.0859067797,116.202,1806.0,1539.0,2188.0,737.66,355.152,0.427,14614.7511102,85.9849067797,14614.7511102,3.303,0.303,0.67
Slide3-PccrM6-3__phase_analysis,signal:0023-0373,144.0,91.2349067797,111.073,1719.0,1546.0,2097.0,510.881,373.059,0.409,13137.8265763,80.9849067797,13137.8265763,4.179,0.239,0.737
Slide3-PccrM6-3__phase_analysis,signal:0024-0369,81.0,89.4169067797,108.622,1557.0,1517.0,2041.0,467.101,368.959,0.769,7242.77744915,80.9849067797,7242.77744915,2.318,0.431,0.905
Slide3-PccrM6-3__phase_analysis,signal:0026-0416,164.0,118.91790678,104.07,1767.0,1625.0,2201.0,613.387,415.776,0.408,19502.5247119,110.98490678,19502.5247119,4.418,0.226,0.744
Slide3-PccrM6-3__phase_analysis,signal:0028-0447,95.0,123.55290678,125.945,1739.0,1535.0,2157.0,617.667,446.967,0.657,11737.5661441,99.9849067797,11737.5661441,2.601,0.384,0.848
Slide3-PccrM6-3__phase_analysis,signal:0030-0485,96.0,123.44290678,114.753,1654.0,1509.0,2123.0,715.35,485.719,0.683,11850.5510508,114.98490678,11850.5510508,2.717,0.368,0.877
Slide3-PccrM6-3__phase_analysis,signal:0033-0539,156.0,119.58090678,105.734,1832.0,1554.0,2156.0,690.539,539.335,0.379,18654.6454576,115.98490678,18654.6454576,4.589,0.218,0.709
Slide3-PccrM6-3__phase_analysis,signal:0034-0549,104.0,102.25390678,106.315,1900.0,1583.0,2075.0,587.406,549.647,0.646,10634.4303051,114.98490678,10634.4303051,2.993,0.334,0.904
Slide3-PccrM6-3__phase_analysis,signal:0037-0575,82.0,124.04590678,114.687,1644.0,1609.0,2136.0,723.832,575.751,0.721,10171.7623559,135.98490678,10171.7623559,2.642,0.379,0.901
Slide3-PccrM6-3__phase_analysis,signal:0038-0587,155.0,133.67490678,110.206,1758.0,1591.0,2269.0,970.458,586.956,0.44,20719.6605508,128.98490678,20719.6605508,3.433,0.291,0.723
Slide3-PccrM6-3__phase_analysis,signal:0042-0667,97.0,117.22190678,114.257,1686.0,1516.0,2115.0,522.788,667.189,0.73,11370.5359576,115.98490678,11370.5359576,2.475,0.404,0.89
