ImageId,Label,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
Slide5-pccrM8-1__phase_analysis,signal:0016-0068,195.0,135.624539604,127.587,1939.0,1673.0,2311.0,706.627,68.898,0.329,26446.8152228,134.578539604,26446.8152228,1.261,0.793,0.625
Slide5-pccrM8-1__phase_analysis,signal:0017-0068,83.0,108.361539604,126.631,1926.0,1664.0,2289.0,464.026,67.323,0.682,8994.01878713,90.578539604,8994.01878713,2.595,0.385,0.838
Slide5-pccrM8-1__phase_analysis,signal:0020-0089,241.0,105.470539604,114.296,1830.0,1669.0,2259.0,296.296,89.703,0.252,25418.4280446,105.578539604,25418.4280446,1.158,0.863,0.567
Slide5-pccrM8-1__phase_analysis,signal:0021-0089,195.0,113.281539604,117.985,1892.0,1668.0,2231.0,329.299,89.724,0.569,22089.8152228,104.578539604,22089.8152228,2.28,0.439,0.825
Slide5-pccrM8-1__phase_analysis,signal:0025-0100,102.0,139.960539604,124.741,1939.0,1709.0,2369.0,664.224,99.934,0.569,14276.0110396,142.578539604,14276.0110396,3.105,0.322,0.806
Slide5-pccrM8-1__phase_analysis,signal:0026-0104,120.0,99.486539604,111.768,1806.0,1654.0,2214.0,496.171,103.944,0.512,11938.4247525,96.578539604,11938.4247525,3.134,0.319,0.774
Slide5-pccrM8-1__phase_analysis,signal:0030-0102,100.0,173.478539604,135.589,1874.0,1720.0,2297.0,414.812,100.808,0.56,17347.8539604,174.578539604,17347.8539604,3.074,0.325,0.8
Slide5-pccrM8-1__phase_analysis,signal:0032-0109,156.0,130.873539604,131.498,1827.0,1634.0,2324.0,733.133,111.732,0.37,20416.2521782,125.578539604,20416.2521782,2.917,0.343,0.595
Slide5-pccrM8-1__phase_analysis,signal:0036-0127,125.0,110.882539604,120.176,1883.0,1667.0,2235.0,582.551,125.786,0.498,13860.3174505,93.578539604,13860.3174505,3.337,0.3,0.731
Slide5-pccrM8-1__phase_analysis,signal:0037-0121,79.0,177.907539604,138.345,1875.0,1666.0,2341.0,817.431,120.962,0.686,14054.7046287,187.578539604,14054.7046287,2.629,0.38,0.854
Slide5-pccrM8-1__phase_analysis,signal:0040-0137,243.0,153.064539604,124.483,1989.0,1684.0,2360.0,515.592,137.23,0.282,37194.5851238,150.578539604,37194.5851238,2.45,0.408,0.588
Slide5-pccrM8-1__phase_analysis,signal:0043-0146,133.0,119.555539604,131.887,1910.0,1664.0,2260.0,425.57,148.146,0.474,15900.9457673,126.578539604,15900.9457673,3.172,0.315,0.686
Slide5-pccrM8-1__phase_analysis,signal:0046-0152,102.0,176.000539604,116.631,1884.0,1765.0,2317.0,965.915,151.421,0.586,17952.0110396,175.578539604,17952.0110396,3.111,0.321,0.803
Slide5-pccrM8-1__phase_analysis,signal:0047-0150,86.0,152.427539604,103.445,1849.0,1760.0,2254.0,650.021,150.938,0.619,13108.7544059,142.578539604,13108.7544059,3.138,0.319,0.851
Slide5-pccrM8-1__phase_analysis,signal:0049-0171,155.0,94.494539604,115.487,1884.0,1642.0,2218.0,260.455,171.648,0.368,14646.6736386,103.578539604,14646.6736386,3.611,0.277,0.616
Slide5-pccrM8-1__phase_analysis,signal:0050-0169,141.0,120.379539604,114.765,1921.0,1705.0,2303.0,882.159,167.346,0.363,16973.5740842,130.578539604,16973.5740842,3.598,0.278,0.589
Slide5-pccrM8-1__phase_analysis,signal:0052-0165,124.0,151.425539604,119.65,1811.0,1751.0,2394.0,918.726,164.26,0.437,18776.7389109,146.578539604,18776.7389109,3.728,0.268,0.697
Slide5-pccrM8-1__phase_analysis,signal:0053-0170,117.0,111.928539604,107.465,1808.0,1729.0,2211.0,750.723,169.16,0.486,13095.6891337,113.578539604,13095.6891337,3.343,0.299,0.709
Slide5-pccrM8-1__phase_analysis,signal:0057-0193,181.0,149.164539604,122.808,1991.0,1663.0,2296.0,724.93,193.272,0.385,26998.7156683,152.578539604,26998.7156683,4.498,0.222,0.77
Slide5-pccrM8-1__phase_analysis,signal:0060-0197,112.0,148.748539604,104.996,1930.0,1778.0,2226.0,287.875,196.207,0.459,16659.7964356,152.578539604,16659.7964356,3.678,0.272,0.727
Slide5-pccrM8-1__phase_analysis,signal:0061-0193,95.0,166.136539604,119.695,1812.0,1716.0,2402.0,922.534,192.483,0.578,15782.9612624,173.578539604,15782.9612624,3.19,0.314,0.809
Slide5-pccrM8-1__phase_analysis,signal:0062-0198,114.0,138.604539604,105.924,1960.0,1734.0,2236.0,890.594,199.809,0.503,15800.9535149,132.578539604,15800.9535149,3.388,0.295,0.728
Slide5-pccrM8-1__phase_analysis,signal:0063-0203,98.0,123.262539604,120.09,1829.0,1684.0,2233.0,936.547,203.965,0.549,12079.6968812,122.578539604,12079.6968812,3.011,0.332,0.754
Slide5-pccrM8-1__phase_analysis,signal:0064-0208,116.0,102.750539604,113.275,1981.0,1659.0,2213.0,430.556,207.959,0.474,11919.1105941,103.578539604,11919.1105941,3.898,0.257,0.771
Slide5-pccrM8-1__phase_analysis,signal:0065-0211,84.0,125.590539604,104.287,1987.0,1726.0,2222.0,364.813,211.25,0.647,10549.5973267,138.578539604,10549.5973267,2.872,0.348,0.913
Slide5-pccrM8-1__phase_analysis,signal:0067-0218,90.0,127.311539604,127.371,1885.0,1565.0,2320.0,679.019,217.498,0.633,11458.0685644,138.578539604,11458.0685644,2.907,0.344,0.861
Slide5-pccrM8-1__phase_analysis,signal:0069-0226,129.0,134.531539604,111.726,1903.0,1644.0,2256.0,423.363,225.93,0.459,17354.6316089,130.578539604,17354.6316089,4.256,0.235,0.799
Slide5-pccrM8-1__phase_analysis,signal:0070-0234,235.0,157.923539604,141.413,1845.0,1624.0,2339.0,786.892,234.117,0.263,37111.9568069,150.578539604,37111.9568069,4.322,0.231,0.532
Slide5-pccrM8-1__phase_analysis,signal:0072-0233,143.0,150.872539604,111.062,1931.0,1704.0,2275.0,659.38,231.687,0.393,21574.7311634,136.578539604,21574.7311634,3.023,0.331,0.6
