ImageId,TP,Label,ObjectId,ParentId,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
PxylX_region1_KL__t1_phase_analysis,1,signal:0001-0009,0,-1,86.0,12201.081,3431.056,4252.0,4252.0,17603.0,891.246,8.829,0.655,1049293.0,12512.0,1049293.0,2.84,0.352,0.851
PxylX_region1_KL__t1_phase_analysis,1,signal:0002-0024,1,-1,75.0,15223.8,4487.127,4422.0,4422.0,22535.0,821.719,23.845,0.712,1141785.0,15597.0,1141785.0,2.417,0.414,0.867
PxylX_region1_KL__t1_phase_analysis,1,signal:0003-0041,2,-1,64.0,19916.75,6171.331,6425.0,6425.0,28830.0,593.853,40.188,0.611,1274672.0,21359.0,1274672.0,2.804,0.357,0.78
PxylX_region1_KL__t1_phase_analysis,1,signal:0004-0052,3,-1,89.0,22682.157,4565.373,13181.0,13181.0,30780.0,20.488,52.352,0.409,2018712.0,23683.0,2018712.0,3.757,0.266,0.701
PxylX_region1_KL__t1_phase_analysis,1,signal:0005-0059,4,-1,59.0,18725.797,4281.581,11146.0,11146.0,25837.0,155.489,59.348,0.615,1104822.0,19154.0,1104822.0,3.287,0.304,0.901
PxylX_region1_KL__t1_phase_analysis,1,signal:0006-0070,5,-1,66.0,22214.833,5587.381,10222.0,10222.0,30649.0,205.183,70.234,0.588,1466179.0,22262.0,1466179.0,3.139,0.319,0.835
PxylX_region1_KL__t1_phase_analysis,1,signal:0007-0082,6,-1,74.0,22733.0,7572.821,7239.0,7239.0,33608.0,563.97,81.769,0.615,1682242.0,24812.0,1682242.0,2.957,0.338,0.827
PxylX_region1_KL__t1_phase_analysis,1,signal:0008-0095,7,-1,71.0,24144.887,5484.067,14595.0,14595.0,34123.0,98.566,94.326,0.583,1714287.0,23843.0,1714287.0,3.349,0.299,0.802
PxylX_region1_KL__t1_phase_analysis,1,signal:0009-0110,8,-1,63.0,13494.413,5152.408,5442.0,5442.0,22492.0,956.293,110.254,0.744,850148.0,13620.0,850148.0,2.302,0.434,0.869
PxylX_region1_KL__t1_phase_analysis,1,signal:0010-0116,9,-1,127.0,21361.543,6953.998,27454.0,6699.0,32899.0,826.257,116.265,0.512,2712916.0,23070.0,2712916.0,1.846,0.542,0.765
PxylX_region1_KL__t1_phase_analysis,1,signal:0011-0113,10,-1,60.0,11132.25,2891.304,5546.0,5546.0,16130.0,350.444,112.366,0.58,667935.0,11362.0,667935.0,2.834,0.353,0.769
PxylX_region1_KL__t1_phase_analysis,1,signal:0012-0120,11,-1,55.0,20457.782,4983.162,10179.0,10179.0,28043.0,125.093,119.153,0.649,1125178.0,20524.0,1125178.0,2.71,0.369,0.803
PxylX_region1_KL__t1_phase_analysis,1,signal:0013-0122,12,-1,82.0,13183.72,5118.314,5012.0,5012.0,21311.0,937.017,122.477,0.654,1081065.0,13529.0,1081065.0,2.789,0.359,0.832
PxylX_region1_KL__t1_phase_analysis,1,signal:0014-0144,13,-1,68.0,18431.868,6526.511,23310.0,6319.0,28851.0,592.334,143.853,0.563,1253367.0,18191.0,1253367.0,2.988,0.335,0.773
PxylX_region1_KL__t1_phase_analysis,1,signal:0015-0148,14,-1,120.0,20158.383,6887.557,6465.0,6465.0,29779.0,757.336,149.921,0.672,2419006.0,22270.0,2419006.0,1.963,0.509,0.873
PxylX_region1_KL__t1_phase_analysis,1,signal:0016-0152,15,-1,73.0,23624.603,6993.504,9071.0,9071.0,33395.0,329.64,152.521,0.579,1724596.0,24232.0,1724596.0,3.266,0.306,0.849
PxylX_region1_KL__t1_phase_analysis,1,signal:0017-0170,16,-1,100.0,23129.86,4951.063,13047.0,13047.0,31038.0,235.1,171.23,0.36,2312986.0,23777.0,2312986.0,3.687,0.271,0.601
PxylX_region1_KL__t1_phase_analysis,1,signal:0018-0170,17,-1,80.0,22837.15,9163.681,7789.0,7789.0,38696.0,960.456,169.646,0.717,1826972.0,23032.0,1826972.0,2.232,0.448,0.856
PxylX_region1_KL__t1_phase_analysis,1,signal:0019-0170,18,-1,59.0,27690.898,7526.03,12311.0,12311.0,39626.0,427.331,169.56,0.631,1633763.0,28764.0,1633763.0,2.924,0.342,0.797
PxylX_region1_KL__t1_phase_analysis,1,signal:0020-0174,19,-1,56.0,20129.768,5779.777,5516.0,5516.0,28877.0,535.861,173.531,0.595,1127267.0,20863.0,1127267.0,2.885,0.347,0.812
PxylX_region1_KL__t1_phase_analysis,1,signal:0021-0184,20,-1,68.0,19398.853,7675.163,5921.0,5921.0,31576.0,648.542,184.804,0.676,1319122.0,20714.0,1319122.0,2.684,0.373,0.883
PxylX_region1_KL__t1_phase_analysis,1,signal:0022-0185,21,-1,72.0,18556.722,6997.942,6434.0,6434.0,29469.0,795.644,185.893,0.645,1336084.0,20225.0,1336084.0,2.653,0.377,0.837
