ImageId,Label,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
slide5-C4-1__phase_analysis,signal:0010-0077,80.0,18.2787065637,117.68,1127.0,1046.0,1592.0,813.437,77.899,0.657,1462.2565251,25.9407065637,1462.2565251,2.77,0.361,0.842
slide5-C4-1__phase_analysis,signal:0013-0110,104.0,39.8927065637,135.856,1108.0,1033.0,1619.0,511.832,110.921,0.574,4148.83348263,48.9407065637,4148.83348263,3.176,0.315,0.825
slide5-C4-1__phase_analysis,signal:0024-0169,89.0,69.3007065637,115.012,1155.0,1146.0,1619.0,747.816,169.9,0.547,6167.72288417,60.9407065637,6167.72288417,3.525,0.284,0.84
slide5-C4-1__phase_analysis,signal:0032-0238,117.0,25.1457065637,127.76,1375.0,1085.0,1579.0,740.027,237.559,0.474,2942.06266795,26.9407065637,2942.06266795,3.054,0.327,0.705
slide5-C4-1__phase_analysis,signal:0034-0236,82.0,53.8557065637,112.471,1269.0,1058.0,1551.0,840.599,236.761,0.59,4416.13793822,66.9407065637,4416.13793822,2.88,0.347,0.824
slide5-C4-1__phase_analysis,signal:0039-0274,133.0,27.0687065637,96.25,1326.0,1062.0,1648.0,280.878,272.17,0.484,3600.11397297,22.9407065637,3600.11397297,3.348,0.299,0.719
slide5-C4-1__phase_analysis,signal:0041-0271,70.0,35.9547065637,93.879,1237.0,1100.0,1539.0,585.841,271.066,0.616,2516.84945946,34.9407065637,2516.84945946,2.821,0.354,0.843
slide5-C4-1__phase_analysis,signal:0049-0303,109.0,38.3627065637,113.96,1157.0,1069.0,1612.0,506.098,303.924,0.407,4181.53701544,36.9407065637,4181.53701544,4.322,0.231,0.787
slide5-C4-1__phase_analysis,signal:0051-0308,83.0,61.0857065637,141.694,1248.0,1000.0,1717.0,964.217,307.534,0.604,5070.07864479,43.9407065637,5070.07864479,3.019,0.331,0.907
slide5-C4-1__phase_analysis,signal:0053-0316,131.0,25.0167065637,119.102,1265.0,1045.0,1553.0,651.714,317.799,0.4,3277.23255985,16.9407065637,3277.23255985,3.424,0.292,0.639
