ImageId,Label,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
Slide6-pccrM5-1__phase_analysis,signal:0003-0016,112.0,660.308885845,295.649,2090.0,1850.0,3011.0,971.951,16.396,0.796,73954.6032146,736.942885845,73954.6032146,1.598,0.626,0.885
Slide6-pccrM5-1__phase_analysis,signal:0019-0081,96.0,238.754885845,153.238,2009.0,1666.0,2506.0,639.216,82.178,0.572,22920.5170411,215.942885845,22920.5170411,3.092,0.323,0.774
Slide6-pccrM5-1__phase_analysis,signal:0020-0086,113.0,96.9158858447,101.826,1756.0,1658.0,2093.0,782.423,87.383,0.526,10951.5461005,105.942885845,10951.5461005,3.157,0.317,0.739
Slide6-pccrM5-1__phase_analysis,signal:0042-0201,69.0,185.319885845,132.414,1843.0,1724.0,2309.0,776.015,201.665,0.69,12787.0591233,164.942885845,12787.0591233,2.577,0.388,0.852
Slide6-pccrM5-1__phase_analysis,signal:0043-0206,86.0,110.675885845,105.691,1796.0,1681.0,2179.0,480.446,207.442,0.629,9518.08818265,112.942885845,9518.08818265,2.683,0.373,0.823
Slide6-pccrM5-1__phase_analysis,signal:0045-0228,178.0,90.1168858447,101.451,1912.0,1576.0,2087.0,520.426,230.91,0.346,16040.8336804,98.9428858447,16040.8336804,3.217,0.311,0.55
Slide6-pccrM5-1__phase_analysis,signal:0051-0247,109.0,122.236885845,103.225,1893.0,1696.0,2183.0,592.327,247.53,0.465,13323.7745571,112.942885845,13323.7745571,3.228,0.31,0.732
Slide6-pccrM5-1__phase_analysis,signal:0053-0276,105.0,135.523885845,141.397,2139.0,1586.0,2233.0,250.567,275.841,0.552,14230.0030137,131.942885845,14230.0030137,2.917,0.343,0.772
Slide6-pccrM5-1__phase_analysis,signal:0054-0276,123.0,92.9508858447,113.532,1846.0,1617.0,2189.0,969.159,275.532,0.515,11432.9749589,76.9428858447,11432.9749589,3.052,0.328,0.734
Slide6-pccrM5-1__phase_analysis,signal:0057-0295,93.0,141.705885845,135.585,1727.0,1700.0,2450.0,689.459,296.351,0.629,13178.6883836,125.942885845,13178.6883836,2.937,0.34,0.849
Slide6-pccrM5-1__phase_analysis,signal:0058-0295,95.0,172.331885845,104.103,1801.0,1738.0,2233.0,908.385,295.389,0.599,16371.5741553,174.942885845,16371.5741553,3.067,0.326,0.872
Slide6-pccrM5-1__phase_analysis,signal:0059-0315,157.0,119.929885845,114.176,1768.0,1570.0,2209.0,929.024,313.457,0.319,18829.0330776,122.942885845,18829.0330776,3.434,0.291,0.529
Slide6-pccrM5-1__phase_analysis,signal:0060-0348,130.0,122.604885845,117.921,1823.0,1554.0,2186.0,664.87,347.381,0.426,15938.5751598,125.942885845,15938.5751598,3.612,0.277,0.675
Slide6-pccrM5-1__phase_analysis,signal:0065-0376,145.0,96.4738858447,104.757,1849.0,1614.0,2120.0,427.004,374.596,0.416,13988.7184475,107.942885845,13988.7184475,3.346,0.299,0.635
Slide6-pccrM5-1__phase_analysis,signal:0067-0402,127.0,116.800885845,106.467,1870.0,1678.0,2248.0,472.423,402.202,0.405,14833.7465023,105.942885845,14833.7465023,3.269,0.306,0.66
Slide6-pccrM5-1__phase_analysis,signal:0068-0405,72.0,127.345885845,88.739,1851.0,1729.0,2127.0,503.268,405.677,0.706,9168.88778082,126.942885845,9168.88778082,2.288,0.437,0.878
Slide6-pccrM5-1__phase_analysis,signal:0070-0417,106.0,129.763885845,100.149,1833.0,1663.0,2188.0,670.765,417.464,0.487,13754.9458995,122.942885845,13754.9458995,3.276,0.305,0.724
Slide6-pccrM5-1__phase_analysis,signal:0071-0447,124.0,119.829885845,103.294,1956.0,1585.0,2159.0,544.809,448.873,0.451,14858.9178447,128.942885845,14858.9178447,3.349,0.299,0.687
Slide6-pccrM5-1__phase_analysis,signal:0073-0458,226.0,113.283885845,108.498,1879.0,1647.0,2220.0,960.166,458.718,0.329,25602.0922009,111.942885845,25602.0922009,1.794,0.557,0.637
Slide6-pccrM5-1__phase_analysis,signal:0074-0455,122.0,159.942885845,115.25,1957.0,1692.0,2414.0,771.487,453.772,0.466,19513.0320731,163.942885845,19513.0320731,3.232,0.309,0.697
Slide6-pccrM5-1__phase_analysis,signal:0078-0482,100.0,91.2528858447,104.364,1829.0,1671.0,2155.0,375.765,482.774,0.634,9125.28858447,96.9428858447,9125.28858447,2.943,0.34,0.837
Slide6-pccrM5-1__phase_analysis,signal:0079-0489,102.0,116.383885845,111.404,1792.0,1615.0,2245.0,848.114,489.828,0.563,11871.1743562,103.942885845,11871.1743562,3.291,0.304,0.81
Slide6-pccrM5-1__phase_analysis,signal:0081-0495,187.0,153.423885845,99.663,1876.0,1693.0,2240.0,487.65,497.711,0.267,28690.319653,151.942885845,28690.319653,1.379,0.725,0.536
Slide6-pccrM5-1__phase_analysis,signal:0083-0508,153.0,111.092885845,96.21,1794.0,1624.0,2137.0,540.788,510.173,0.287,16997.2615342,106.942885845,16997.2615342,3.67,0.273,0.503
Slide6-pccrM5-1__phase_analysis,signal:0085-0509,98.0,121.064885845,132.469,1870.0,1583.0,2281.0,951.571,510.113,0.635,11864.4028128,127.942885845,11864.4028128,2.755,0.363,0.856
Slide6-pccrM5-1__phase_analysis,signal:0087-0518,116.0,129.244885845,109.509,1796.0,1619.0,2125.0,844.853,518.581,0.49,14992.374758,149.942885845,14992.374758,3.738,0.268,0.806
Slide6-pccrM5-1__phase_analysis,signal:0089-0546,108.0,101.461885845,101.798,1851.0,1628.0,2170.0,809.486,546.928,0.574,10957.8316712,100.942885845,10957.8316712,2.961,0.338,0.809
Slide6-pccrM5-1__phase_analysis,signal:0090-0546,54.0,223.016885845,125.504,1784.0,1784.0,2330.0,461.031,546.636,0.764,12042.9158356,202.942885845,12042.9158356,2.252,0.444,0.864
Slide6-pccrM5-1__phase_analysis,signal:0094-0570,119.0,110.329885845,92.493,1809.0,1697.0,2114.0,839.008,571.182,0.455,13129.2034155,114.942885845,13129.2034155,3.021,0.331,0.674
Slide6-pccrM5-1__phase_analysis,signal:0095-0572,119.0,141.749885845,112.198,1972.0,1646.0,2184.0,901.517,572.195,0.462,16868.2034155,142.942885845,16868.2034155,3.725,0.268,0.753
Slide6-pccrM5-1__phase_analysis,signal:0097-0580,132.0,122.510885845,111.908,1960.0,1618.0,2174.0,578.621,581.326,0.441,16171.4609315,126.942885845,16171.4609315,3.35,0.299,0.668
Slide6-pccrM5-1__phase_analysis,signal:0098-0586,72.0,92.9568858447,102.61,1784.0,1669.0,2203.0,419.84,585.633,0.744,6692.88778082,81.9428858447,6692.88778082,2.368,0.422,0.862
Slide6-pccrM5-1__phase_analysis,signal:0099-0593,235.0,154.678885845,119.451,1944.0,1582.0,2330.0,522.51,594.34,0.46,36349.5781735,148.942885845,36349.5781735,2.757,0.363,0.721
Slide6-pccrM5-1__phase_analysis,signal:0100-0603,160.0,125.042885845,115.416,1884.0,1658.0,2290.0,464.591,602.367,0.358,20006.8617352,119.942885845,20006.8617352,4.906,0.204,0.656
Slide6-pccrM5-1__phase_analysis,signal:0103-0659,102.0,113.540885845,111.153,1927.0,1530.0,2120.0,925.933,659.302,0.575,11581.1743562,121.942885845,11581.1743562,2.851,0.351,0.823
Slide6-pccrM5-1__phase_analysis,signal:0104-0666,219.0,632.568885845,251.942,2405.0,1761.0,3123.0,395.791,666.309,0.339,138532.492,636.942885845,138532.492,3.08,0.325,0.691
Slide6-pccrM5-1__phase_analysis,signal:0109-0710,172.0,94.7158858447,104.498,1923.0,1642.0,2155.0,773.397,712.841,0.297,16291.1763653,88.9428858447,16291.1763653,2.678,0.373,0.494
Slide6-pccrM5-1__phase_analysis,signal:0112-0716,95.0,109.710885845,104.43,1779.0,1703.0,2175.0,957.562,715.403,0.587,10422.5741553,103.942885845,10422.5741553,3.071,0.326,0.792
Slide6-pccrM5-1__phase_analysis,signal:0114-0742,170.0,108.471885845,102.847,1859.0,1686.0,2204.0,899.817,740.621,0.359,18440.2905936,105.942885845,18440.2905936,5.253,0.19,0.679
Slide6-pccrM5-1__phase_analysis,signal:0116-0754,160.0,94.8678858447,109.105,1736.0,1641.0,2147.0,754.221,753.41,0.358,15178.8617352,86.9428858447,15178.8617352,2.812,0.356,0.587
Slide6-pccrM5-1__phase_analysis,signal:0128-0810,141.0,184.119885845,146.959,1919.0,1578.0,2329.0,682.487,809.434,0.378,25960.9469041,170.942885845,25960.9469041,4.845,0.206,0.681
Slide6-pccrM5-1__phase_analysis,signal:0132-0817,55.0,482.142885845,305.46,2020.0,1797.0,2896.0,392.854,816.83,0.823,26517.8587215,472.942885845,26517.8587215,2.064,0.484,0.894
Slide6-pccrM5-1__phase_analysis,signal:0138-0856,89.0,93.1448858447,112.732,1848.0,1587.0,2098.0,845.178,856.019,0.64,8289.91684018,89.9428858447,8289.91684018,2.614,0.383,0.856
Slide6-pccrM5-2__phase_analysis,signal:0036-0267,85.0,96.6018858447,96.74,1858.0,1637.0,2115.0,791.484,267.371,0.639,8211.1452968,84.9428858447,8211.1452968,2.945,0.34,0.846
Slide6-pccrM5-2__phase_analysis,signal:0038-0278,130.0,96.4048858447,102.147,1876.0,1599.0,2140.0,701.62,279.261,0.451,12532.5751598,95.9428858447,12532.5751598,3.707,0.27,0.699
Slide6-pccrM5-2__phase_analysis,signal:0040-0295,200.0,104.077885845,111.564,1819.0,1577.0,2261.0,636.837,295.78,0.465,20815.5771689,102.942885845,20815.5771689,2.99,0.334,0.691
Slide6-pccrM5-2__phase_analysis,signal:0041-0294,107.0,96.9148858447,102.084,1835.0,1652.0,2112.0,871.922,294.145,0.593,10369.8887854,93.9428858447,10369.8887854,3.551,0.282,0.823
Slide6-pccrM5-2__phase_analysis,signal:0044-0307,159.0,93.4078858447,98.548,1852.0,1647.0,2143.0,894.25,309.574,0.361,14851.9188493,88.9428858447,14851.9188493,3.457,0.289,0.597
Slide6-pccrM5-2__phase_analysis,signal:0049-0328,74.0,97.4968858447,103.255,1916.0,1647.0,2120.0,903.776,328.357,0.726,7214.77355251,115.942885845,7214.77355251,2.521,0.397,0.871
Slide6-pccrM5-2__phase_analysis,signal:0050-0331,120.0,209.225885845,123.533,1941.0,1699.0,2318.0,528.214,330.9,0.486,25107.1463014,210.942885845,25107.1463014,3.523,0.284,0.741
Slide6-pccrM5-2__phase_analysis,signal:0054-0344,102.0,91.8548858447,108.248,1788.0,1643.0,2174.0,579.52,343.093,0.64,9369.17435616,72.9428858447,9369.17435616,2.835,0.353,0.803
Slide6-pccrM5-2__phase_analysis,signal:0056-0357,82.0,104.686885845,94.853,1874.0,1637.0,2144.0,750.457,357.446,0.708,8584.31663927,97.9428858447,8584.31663927,2.524,0.396,0.901
Slide6-pccrM5-2__phase_analysis,signal:0059-0375,85.0,90.3898858447,101.07,1787.0,1676.0,2115.0,507.809,375.095,0.655,7683.1452968,79.9428858447,7683.1452968,2.981,0.335,0.895
Slide6-pccrM5-2__phase_analysis,signal:0062-0396,101.0,123.031885845,102.54,2012.0,1662.0,2161.0,648.553,395.189,0.614,12426.2314703,128.942885845,12426.2314703,3.077,0.325,0.856
Slide6-pccrM5-2__phase_analysis,signal:0065-0417,77.0,149.721885845,103.94,1749.0,1681.0,2171.0,961.437,417.306,0.735,11528.60221,149.942885845,11528.60221,2.446,0.409,0.856
Slide6-pccrM5-2__phase_analysis,signal:0066-0434,148.0,108.456885845,109.885,1839.0,1672.0,2281.0,802.172,435.757,0.407,16051.547105,105.942885845,16051.547105,3.334,0.3,0.634
Slide6-pccrM5-2__phase_analysis,signal:0067-0436,227.0,127.894885845,90.52,1879.0,1647.0,2137.0,705.034,434.535,0.409,29032.0350868,127.942885845,29032.0350868,2.447,0.409,0.645
Slide6-pccrM5-2__phase_analysis,signal:0068-0439,149.0,96.2788858447,96.794,1817.0,1664.0,2270.0,900.647,440.841,0.414,14345.4899909,92.9428858447,14345.4899909,4.023,0.249,0.673
Slide6-pccrM5-2__phase_analysis,signal:0070-0440,210.0,141.252885845,102.579,1978.0,1635.0,2297.0,766.311,440.795,0.594,29663.0060274,138.942885845,29663.0060274,1.726,0.579,0.758
Slide6-pccrM5-2__phase_analysis,signal:0073-0457,101.0,142.754885845,121.826,1860.0,1671.0,2287.0,832.681,456.468,0.601,14418.2314703,136.942885845,14418.2314703,3.005,0.333,0.811
Slide6-pccrM5-2__phase_analysis,signal:0076-0471,198.0,140.982885845,103.62,1896.0,1642.0,2226.0,707.477,470.913,0.372,27914.6913973,132.942885845,27914.6913973,4.287,0.233,0.714
Slide6-pccrM5-2__phase_analysis,signal:0078-0472,88.0,140.067885845,113.008,1914.0,1683.0,2211.0,661.689,472.876,0.69,12325.9739543,128.942885845,12325.9739543,2.497,0.401,0.85
Slide6-pccrM5-2__phase_analysis,signal:0080-0485,98.0,91.6978858447,100.415,1873.0,1674.0,2100.0,461.744,484.771,0.541,8986.40281279,92.9428858447,8986.40281279,3.069,0.326,0.775
Slide6-pccrM5-2__phase_analysis,signal:0081-0488,88.0,121.260885845,116.894,1826.0,1663.0,2216.0,560.087,488.071,0.626,10670.9739543,123.942885845,10670.9739543,2.919,0.343,0.854
Slide6-pccrM5-2__phase_analysis,signal:0082-0492,152.0,129.185885845,100.111,1869.0,1695.0,2187.0,764.934,494.665,0.364,19636.3186484,132.942885845,19636.3186484,3.121,0.32,0.575
Slide6-pccrM5-2__phase_analysis,signal:0089-0514,114.0,111.205885845,98.433,2034.0,1682.0,2181.0,531.044,513.01,0.448,12677.4889863,115.942885845,12677.4889863,3.537,0.283,0.683
Slide6-pccrM5-2__phase_analysis,signal:0091-0522,233.0,135.654885845,108.831,1897.0,1696.0,2323.0,765.499,523.956,0.538,31607.6924018,128.942885845,31607.6924018,1.612,0.62,0.74
Slide6-pccrM5-2__phase_analysis,signal:0096-0578,84.0,105.537885845,119.647,1794.0,1670.0,2229.0,885.61,578.587,0.666,8865.20241096,92.9428858447,8865.20241096,2.592,0.386,0.866
Slide6-pccrM5-2__phase_analysis,signal:0100-0611,109.0,99.1818858447,93.328,1819.0,1631.0,2172.0,709.876,611.706,0.579,10810.7745571,93.9428858447,10810.7745571,3.394,0.295,0.832
Slide6-pccrM5-2__phase_analysis,signal:0101-0617,116.0,90.5288858447,94.252,1892.0,1672.0,2173.0,784.81,617.505,0.49,10501.374758,98.9428858447,10501.374758,3.102,0.322,0.737
Slide6-pccrM5-2__phase_analysis,signal:0104-0618,76.0,99.3768858447,106.6,1822.0,1661.0,2195.0,926.591,617.538,0.785,7552.6593242,98.9428858447,7552.6593242,2.165,0.462,0.864
Slide6-pccrM5-3__phase_analysis,signal:0040-0271,88.0,101.544885845,104.807,1763.0,1660.0,2113.0,796.698,271.874,0.654,8935.97395434,101.942885845,8935.97395434,2.729,0.366,0.826
Slide6-pccrM5-3__phase_analysis,signal:0042-0288,86.0,89.9428858447,106.352,1658.0,1586.0,2211.0,978.81,289.4,0.56,7735.08818265,96.9428858447,7735.08818265,3.28,0.305,0.782
Slide6-pccrM5-3__phase_analysis,signal:0060-0372,150.0,120.669885845,109.997,1814.0,1638.0,2230.0,662.611,372.046,0.771,18100.4328767,123.942885845,18100.4328767,1.91,0.524,0.906
Slide6-pccrM5-3__phase_analysis,signal:0061-0378,199.0,95.1588858447,108.653,1835.0,1579.0,2196.0,684.175,377.825,0.259,18936.6342831,91.9428858447,18936.6342831,1.78,0.562,0.532
Slide6-pccrM5-3__phase_analysis,signal:0070-0437,124.0,112.474885845,107.131,1901.0,1672.0,2219.0,513.333,436.601,0.464,13946.9178447,126.942885845,13946.9178447,3.968,0.252,0.738
Slide6-pccrM5-3__phase_analysis,signal:0072-0443,79.0,124.664885845,99.091,1846.0,1682.0,2149.0,748.106,443.742,0.699,9848.48798174,121.942885845,9848.48798174,2.651,0.377,0.845
Slide6-pccrM5-3__phase_analysis,signal:0077-0481,128.0,124.723885845,110.517,1859.0,1699.0,2257.0,776.858,480.925,0.464,15964.6893881,113.942885845,15964.6893881,3.56,0.281,0.762
Slide6-pccrM5-3__phase_analysis,signal:0079-0493,119.0,147.681885845,102.064,1817.0,1650.0,2281.0,628.785,494.39,0.497,17574.2034155,133.942885845,17574.2034155,3.32,0.301,0.739
Slide6-pccrM5-3__phase_analysis,signal:0080-0498,77.0,115.526885845,93.979,1919.0,1672.0,2143.0,495.551,497.821,0.596,8895.60221005,125.942885845,8895.60221005,3.013,0.332,0.77
Slide6-pccrM5-3__phase_analysis,signal:0082-0520,62.0,138.571885845,103.523,1911.0,1676.0,2147.0,544.665,520.23,0.717,8591.45892237,117.942885845,8591.45892237,2.569,0.389,0.867
Slide6-pccrM5-3__phase_analysis,signal:0085-0547,145.0,116.163885845,112.102,1873.0,1687.0,2224.0,587.652,546.653,0.36,16843.7184475,108.942885845,16843.7184475,4.621,0.216,0.7
Slide6-pccrM5-3__phase_analysis,signal:0087-0544,94.0,126.814885845,105.345,1985.0,1691.0,2240.0,534.478,544.093,0.456,11920.6312694,111.942885845,11920.6312694,3.68,0.272,0.718
Slide6-pccrM5-3__phase_analysis,signal:0088-0568,63.0,154.069885845,105.024,1818.0,1750.0,2244.0,564.166,568.452,0.8,9706.40180822,154.942885845,9706.40180822,2.295,0.436,0.869
Slide6-pccrM5-3__phase_analysis,signal:0093-0631,90.0,132.231885845,103.305,1777.0,1730.0,2200.0,572.419,630.642,0.633,11900.859726,137.942885845,11900.859726,2.625,0.381,0.814
Slide6-pccrM5-3__phase_analysis,signal:0112-0732,85.0,146.271885845,126.022,1781.0,1700.0,2227.0,618.216,732.931,0.695,12433.1452968,150.942885845,12433.1452968,2.518,0.397,0.872
Slide6-pccrM5-3__phase_analysis,signal:0114-0737,91.0,100.876885845,105.509,1749.0,1570.0,2165.0,545.882,736.5,0.606,9179.80261187,102.942885845,9179.80261187,2.99,0.334,0.802
