ImageId,TP,Label,ObjectId,ParentId,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0001-0008,0,-1,86.0,9631.244,2330.88,4814.0,4814.0,13906.0,461.511,7.116,0.622,828287.0,10294.0,828287.0,2.954,0.338,0.843
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0002-0026,1,-1,78.0,8303.269,2088.075,4378.0,4378.0,12421.0,580.726,25.841,0.665,647655.0,8075.0,647655.0,2.542,0.393,0.857
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0003-0039,2,-1,88.0,5683.33,1074.196,5780.0,3582.0,7575.0,763.988,39.723,0.788,500133.0,5780.0,500133.0,2.071,0.483,0.889
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0004-0045,3,-1,128.0,12606.836,3346.124,15910.0,4566.0,18188.0,254.882,43.259,0.401,1613675.0,13053.0,1613675.0,1.955,0.511,0.631
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0005-0051,4,-1,110.0,9790.445,2903.82,6418.0,3828.0,14504.0,410.615,51.029,0.469,1076949.0,10070.0,1076949.0,3.639,0.275,0.743
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0006-0048,5,-1,55.0,10694.818,2953.554,5954.0,5954.0,16172.0,115.035,48.354,0.749,588215.0,10638.0,588215.0,2.273,0.44,0.873
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0007-0049,6,-1,63.0,6295.238,1381.988,3899.0,3899.0,8555.0,681.267,49.31,0.838,396600.0,6273.0,396600.0,1.86,0.538,0.947
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0008-0053,7,-1,77.0,5213.805,845.521,3767.0,3767.0,7289.0,947.667,53.335,0.823,401463.0,5191.0,401463.0,2.018,0.496,0.875
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0009-0057,8,-1,112.0,5915.67,582.928,6035.0,4353.0,7450.0,960.939,57.312,0.681,662555.0,6010.0,662555.0,2.376,0.421,0.878
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0010-0059,9,-1,79.0,10635.329,2869.315,4767.0,4767.0,16080.0,173.069,59.254,0.54,840191.0,10801.0,840191.0,3.311,0.302,0.798
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0011-0062,10,-1,79.0,9688.0,2847.753,6762.0,3805.0,15567.0,483.636,62.814,0.627,765352.0,9967.0,765352.0,2.72,0.368,0.84
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0012-0063,11,-1,84.0,5306.679,762.167,4847.0,3434.0,6715.0,831.159,63.672,0.835,445761.0,5447.0,445761.0,1.869,0.535,0.928
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0013-0070,12,-1,99.0,9720.778,2882.965,4274.0,4274.0,15213.0,518.822,71.47,0.534,962357.0,9633.0,962357.0,3.375,0.296,0.78
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0014-0070,13,-1,78.0,6775.782,1236.442,6936.0,4094.0,9185.0,698.036,70.383,0.708,528511.0,7013.0,528511.0,2.247,0.445,0.867
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0015-0081,14,-1,83.0,10937.711,3489.318,9664.0,5009.0,17075.0,389.134,80.692,0.559,907830.0,11131.0,907830.0,2.98,0.336,0.81
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0016-0084,15,-1,184.0,9757.804,2452.135,11839.0,4369.0,15003.0,607.374,87.159,0.363,1795436.0,10080.0,1795436.0,3.035,0.33,0.581
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0017-0090,16,-1,68.0,11687.765,3851.26,4099.0,4099.0,18314.0,496.135,91.164,0.617,794768.0,12688.0,794768.0,2.829,0.354,0.855
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0018-0099,17,-1,80.0,11819.438,3515.893,4849.0,4849.0,18315.0,169.71,99.384,0.624,945555.0,12349.0,945555.0,3.108,0.322,0.914
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0019-0109,18,-1,58.0,9227.569,1950.873,5764.0,5764.0,13350.0,4.251,109.721,0.695,535199.0,8834.0,535199.0,2.43,0.411,0.853
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0020-0120,19,-1,88.0,11088.409,2980.251,14548.0,5476.0,16840.0,640.57,119.732,0.626,975780.0,11158.0,975780.0,2.819,0.355,0.826
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0021-0127,20,-1,69.0,11702.029,4117.335,4564.0,4564.0,19236.0,298.531,127.463,0.596,807440.0,12039.0,807440.0,3.215,0.311,0.862
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0022-0130,21,-1,68.0,13002.044,2736.945,7221.0,7221.0,17628.0,308.827,131.225,0.59,884139.0,13338.0,884139.0,3.103,0.322,0.819
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0023-0135,22,-1,74.0,12795.446,4239.079,4977.0,4977.0,20465.0,341.635,134.597,0.605,946863.0,13403.0,946863.0,2.882,0.347,0.827
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0024-0149,23,-1,79.0,13046.949,3303.879,6462.0,6462.0,18749.0,79.28,148.237,0.646,1030709.0,13308.0,1030709.0,2.88,0.347,0.832
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0025-0157,24,-1,68.0,11857.015,3085.347,6053.0,6053.0,17864.0,114.944,157.926,0.645,806277.0,11794.0,806277.0,2.497,0.4,0.877
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0026-0161,25,-1,92.0,12427.141,3914.643,3805.0,3805.0,19798.0,444.921,159.64,0.508,1143297.0,12793.0,1143297.0,3.576,0.28,0.763
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0027-0173,26,-1,63.0,11510.873,4194.228,4421.0,4421.0,18787.0,223.021,173.212,0.703,725185.0,11241.0,725185.0,2.674,0.374,0.887
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0028-0178,27,-1,96.0,7718.729,1857.523,6191.0,4302.0,11344.0,704.052,177.79,0.639,740998.0,7849.0,740998.0,2.611,0.383,0.835
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0029-0186,28,-1,98.0,10103.102,2594.794,5265.0,5265.0,15038.0,654.984,186.969,0.605,990104.0,9967.0,990104.0,2.891,0.346,0.807
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0030-0182,29,-1,79.0,5180.519,806.003,4899.0,3547.0,6956.0,978.999,182.13,0.84,409261.0,5317.0,409261.0,1.881,0.532,0.903
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0031-0189,30,-1,105.0,12415.057,3605.63,4693.0,4693.0,18739.0,463.516,190.794,0.459,1303581.0,12413.0,1303581.0,3.82,0.262,0.707
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0032-0192,31,-1,85.0,4527.047,858.613,4670.0,2794.0,6261.0,938.299,192.381,0.811,384799.0,4622.0,384799.0,1.71,0.585,0.863
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0033-0195,32,-1,86.0,13275.186,3563.093,17379.0,5992.0,19625.0,172.577,195.882,0.517,1141666.0,13387.0,1141666.0,3.077,0.325,0.729
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0034-0195,33,-1,74.0,9505.351,2736.479,4355.0,4355.0,13881.0,524.552,195.408,0.697,703396.0,9552.0,703396.0,2.787,0.359,0.855
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0035-0197,34,-1,56.0,9171.339,2515.782,5076.0,5076.0,14360.0,142.196,197.847,0.707,513595.0,9371.0,513595.0,2.463,0.406,0.868
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0036-0202,35,-1,63.0,11952.333,3222.567,5320.0,5320.0,18039.0,67.918,202.144,0.728,752997.0,12068.0,752997.0,2.441,0.41,0.881
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0037-0207,36,-1,87.0,12418.954,3499.77,5100.0,5100.0,19362.0,271.264,207.06,0.602,1080449.0,12283.0,1080449.0,2.873,0.348,0.802
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0038-0216,37,-1,82.0,13996.012,4458.574,5433.0,5433.0,20728.0,344.619,216.267,0.552,1147673.0,15015.0,1147673.0,3.499,0.286,0.837
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0039-0216,38,-1,57.0,12528.649,2889.346,6834.0,6834.0,17797.0,175.119,216.636,0.719,714133.0,12955.0,714133.0,2.475,0.404,0.877
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0040-0220,39,-1,59.0,12438.424,3275.54,6182.0,6182.0,18656.0,41.96,219.751,0.745,733867.0,11969.0,733867.0,2.279,0.439,0.881
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0041-0227,40,-1,62.0,13975.565,3319.225,14448.0,7111.0,19523.0,53.372,226.469,0.637,866485.0,14398.0,866485.0,2.792,0.358,0.832
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0042-0244,41,-1,79.0,13153.456,4349.657,4943.0,4943.0,21068.0,513.343,243.92,0.601,1039123.0,13024.0,1039123.0,3.049,0.328,0.806
Xyl_region3_venus_KL1__t1_phase_analysis,1,signal:0043-0248,42,-1,83.0,5250.928,903.235,6425.0,3166.0,7367.0,947.177,248.355,0.9,435827.0,5314.0,435827.0,1.698,0.589,0.907
